Target,Source1,Source2,Source3,BDeu
AT2G38210,AT1G72360,AT1G10480,AT1G21910,-88.9875953822323
AT2G38210,AT1G72360,AT1G18570,AT1G21910,-88.9875953822323
AT2G38210,AT1G72360,AT2G31180,AT3G16350,-88.9875953822323
AT2G38210,AT3G03450,AT2G31180,AT3G16350,-88.9875953822323
AT2G38210,AT4G39780,AT2G31180,AT3G16350,-88.9875953822323
AT2G38210,AT1G10480,AT1G18570,AT2G40220,-88.9875953822323
AT2G38210,AT1G10480,AT1G18570,AT2G44940,-88.9875953822323
AT2G38210,AT1G10480,AT1G18570,AT4G28140,-88.9875953822323
AT2G38210,AT1G10480,AT2G31180,AT3G16350,-88.9875953822323
AT2G38210,AT1G10480,AT2G40220,AT2G44940,-88.9875953822323
AT2G38210,AT1G10480,AT2G40220,AT3G16350,-88.9875953822323
AT2G38210,AT1G10480,AT2G40220,AT4G28140,-88.9875953822323
AT2G38210,AT1G10480,AT2G40220,AT5G21120,-88.9875953822323
AT2G38210,AT1G10480,AT2G44940,AT3G16350,-88.9875953822323
AT2G38210,AT1G10480,AT2G44940,AT4G28140,-88.9875953822323
AT2G38210,AT1G10480,AT2G44940,AT5G21120,-88.9875953822323
AT2G38210,AT1G10480,AT3G16350,AT4G28140,-88.9875953822323
AT2G38210,AT1G10480,AT4G28140,AT5G21120,-88.9875953822323
AT2G38210,AT1G12890,AT2G31180,AT3G16350,-88.9875953822323
AT2G38210,AT1G18570,AT2G31180,AT3G16350,-88.9875953822323
AT2G38210,AT1G18570,AT2G40220,AT2G44940,-88.9875953822323
AT2G38210,AT1G18570,AT2G40220,AT4G28140,-88.9875953822323
AT2G38210,AT1G18570,AT2G44940,AT4G28140,-88.9875953822323
AT2G38210,AT1G18570,AT3G16350,AT4G28140,-88.9875953822323
AT2G38210,AT1G21910,AT2G31180,AT3G16350,-88.9875953822323
AT2G38210,AT1G77640,AT2G31180,AT3G16350,-88.9875953822323
AT2G38210,AT2G31180,AT2G40220,AT2G44940,-88.9875953822323
AT2G38210,AT2G31180,AT2G40220,AT3G16350,-88.9875953822323
AT2G38210,AT2G31180,AT2G40220,AT4G28140,-88.9875953822323
