Target,Source,BDeu
AT2G31730,AT5G47220,-162.321481531344
AT2G31730,AT5G47230,-162.881176461337
AT2G31730,AT4G16750,-167.167531362387
AT2G31730,AT1G74840,-173.323870319328
AT2G31730,AT5G13910,-174.611034714543
AT2G31730,AT3G61630,-175.051091267411
AT2G31730,AT1G64380,-176.253262449787
AT2G31730,AT4G17500,-176.708377466537
AT2G31730,AT4G11140,-176.72772042938
AT2G31730,AT1G68840,-195.898531935758
AT2G31730,AT3G15210,-207.730545628241
AT2G31730,AT1G28370,-244.464124275011
AT2G31730,AT3G23240,-246.060658782603
AT2G31730,AT1G25560,-247.865904644897
