Target,Source1,Source2,BDeu
AT1G73500,AT1G25560,AT3G61630,-29.6625317941544
AT1G73500,AT3G61630,AT4G11140,-29.6625317941544
AT1G73500,AT5G13910,AT3G61630,-54.8856073014422
AT1G73500,AT3G61630,AT4G17500,-54.8856073014422
AT1G73500,AT3G15210,AT3G61630,-54.8856073014422
AT1G73500,AT1G74840,AT4G11140,-54.8856073014422
AT1G73500,AT3G23240,AT3G61630,-55.5787544819966
AT1G73500,AT4G16750,AT4G11140,-55.9842195901029
AT1G73500,AT1G28370,AT3G61630,-55.9842195901029
AT1G73500,AT3G61630,AT5G47230,-56.2719016625538
AT1G73500,AT1G25560,AT4G11140,-56.4950452138674
AT1G73500,AT1G68840,AT3G61630,-56.677366770661
AT1G73500,AT1G25560,AT1G74840,-56.9650488431123
AT1G73500,AT4G16750,AT3G61630,-56.9650488431123
AT1G73500,AT3G61630,AT5G47220,-57.1881923944262
AT1G73500,AT4G11140,AT5G47230,-57.1881923944262
AT1G73500,AT5G13910,AT4G11140,-57.593657502534
AT1G73500,AT4G11140,AT5G47220,-57.7759790593279
AT1G73500,AT1G68840,AT4G11140,-57.8813395749856
AT1G73500,AT1G28370,AT4G11140,-58.0211015173607
AT1G73500,AT3G23240,AT4G11140,-58.1044831262997
AT1G73500,AT3G15210,AT4G11140,-58.252903131418
AT1G73500,AT1G64380,AT4G11140,-58.2868046830936
AT1G73500,AT1G64380,AT3G61630,-58.2868046830936
AT1G73500,AT1G74840,AT3G61630,-58.2868046830936
AT1G73500,AT4G11140,AT4G17500,-58.3195945059166
AT1G73500,AT1G74840,AT4G17500,-80.10868280873
AT1G73500,AT3G15210,AT1G74840,-81.2072950973907
AT1G73500,AT1G74840,AT3G23240,-82.5935894585032
AT1G73500,AT4G16750,AT4G17500,-82.8167330098159
AT1G73500,AT5G13910,AT1G74840,-82.8812715309593
AT1G73500,AT1G28370,AT1G74840,-83.404519674717
AT1G73500,AT4G16750,AT1G74840,-83.5744187115117
AT1G73500,AT1G25560,AT4G17500,-83.664030870201
AT1G73500,AT1G64380,AT1G74840,-84.2030273709358
AT1G73500,AT1G64380,AT4G17500,-84.2030273709358
AT1G73500,AT1G68840,AT1G74840,-84.298337550737
AT1G73500,AT1G74840,AT5G47230,-84.4394161489974
AT1G73500,AT1G74840,AT5G47220,-85.050325231319
AT1G73500,AT4G17500,AT5G47230,-85.050325231319
AT1G73500,AT5G13910,AT4G17500,-85.5893217320512
AT1G73500,AT4G17500,AT5G47220,-85.9434935457716
AT1G73500,AT1G28370,AT4G17500,-86.1886160038044
AT1G73500,AT1G68840,AT4G17500,-86.1954575356211
AT1G73500,AT3G23240,AT4G17500,-86.4186010869352
AT1G73500,AT1G25560,AT1G64380,-86.6453744062925
AT1G73500,AT3G15210,AT4G17500,-86.8771760203572
AT1G73500,AT3G15210,AT5G47230,-89.2399799733307
AT1G73500,AT1G64380,AT5G47220,-90.6439739115439
AT1G73500,AT3G15210,AT5G47220,-91.1905176179165
AT1G73500,AT3G15210,AT1G64380,-112.724405836712
AT1G73500,AT5G13910,AT1G64380,-114.278133142123
AT1G73500,AT3G15210,AT4G16750,-114.516780879972
AT1G73500,AT4G16750,AT1G64380,-114.65828044224
AT1G73500,AT1G64380,AT5G47230,-115.512877605105
AT1G73500,AT1G25560,AT5G47220,-116.206024785668
AT1G73500,AT1G64380,AT3G23240,-116.596222421645
AT1G73500,AT1G28370,AT1G64380,-116.963426356092
AT1G73500,AT1G68840,AT1G64380,-117.206823764308
AT1G73500,AT3G15210,AT1G25560,-118.072128941447
AT1G73500,AT4G16750,AT1G28370,-120.503310191873
AT1G73500,AT3G15210,AT5G13910,-121.19732279871
AT1G73500,AT3G15210,AT1G28370,-123.155728696989
AT1G73500,AT3G15210,AT3G23240,-123.816010863929
AT1G73500,AT1G28370,AT5G47220,-133.771062507502
AT1G73500,AT1G25560,AT5G47230,-142.140265979011
AT1G73500,AT4G16750,AT3G23240,-146.584868455621
AT1G73500,AT3G15210,AT1G68840,-147.1523585441
AT1G73500,AT1G25560,AT4G16750,-151.98021451072
AT1G73500,AT1G28370,AT5G47230,-153.803611064896
AT1G73500,AT3G23240,AT5G47220,-153.852166718634
AT1G73500,AT1G25560,AT1G28370,-153.974555934702
AT1G73500,AT4G16750,AT5G13910,-154.270112063583
AT1G73500,AT5G13910,AT5G47220,-156.771685765844
AT1G73500,AT4G16750,AT5G47220,-159.710828576762
AT1G73500,AT1G68840,AT5G13910,-160.561227214826
AT1G73500,AT4G16750,AT5G47230,-162.207569684195
AT1G73500,AT1G25560,AT1G68840,-172.651608516974
AT1G73500,AT1G25560,AT5G13910,-176.81412490664
AT1G73500,AT3G23240,AT5G47230,-177.426433569323
AT1G73500,AT5G47220,AT5G47230,-179.928203457634
AT1G73500,AT5G13910,AT3G23240,-181.758951031394
AT1G73500,AT1G68840,AT3G23240,-182.730716709588
AT1G73500,AT1G25560,AT3G23240,-185.549440661903
AT1G73500,AT5G13910,AT5G47230,-185.780425245362
AT1G73500,AT5G13910,AT1G28370,-187.758383748127
AT1G73500,AT1G68840,AT5G47220,-188.626366947277
AT1G73500,AT1G68840,AT4G16750,-189.905501505403
AT1G73500,AT1G68840,AT1G28370,-190.891774913862
AT1G73500,AT1G68840,AT5G47230,-201.303992615533
AT1G73500,AT1G28370,AT3G23240,-220.616094468963
