Target,Source1,Source2,BDeu
AT5G64900,AT1G74840,AT5G47220,-85.6921791174908
AT5G64900,AT1G28370,AT1G74840,-97.8360723617091
AT5G64900,AT1G68840,AT1G74840,-98.0820305907811
AT5G64900,AT1G74840,AT3G23240,-103.200879469512
AT5G64900,AT1G25560,AT1G74840,-105.772728049426
AT5G64900,AT1G74840,AT5G47230,-107.137820202894
AT5G64900,AT3G61630,AT5G47220,-113.674359996671
AT5G64900,AT4G11140,AT5G47220,-116.484689046883
AT5G64900,AT4G17500,AT5G47220,-116.484689046883
AT5G64900,AT3G15210,AT1G74840,-117.493623706789
AT5G64900,AT1G64380,AT5G47220,-118.648969468495
AT5G64900,AT1G74840,AT4G17500,-119.561636552643
AT5G64900,AT1G64380,AT1G74840,-120.149423217545
AT5G64900,AT3G15210,AT5G47220,-120.450779273573
AT5G64900,AT1G74840,AT4G11140,-120.626347289635
AT5G64900,AT1G74840,AT3G61630,-122.578729953195
AT5G64900,AT1G28370,AT3G61630,-126.150190322345
AT5G64900,AT1G68840,AT3G61630,-126.249545077225
AT5G64900,AT1G28370,AT4G11140,-129.285684538263
AT5G64900,AT1G28370,AT4G17500,-129.285684538263
AT5G64900,AT1G68840,AT4G11140,-129.345360809325
AT5G64900,AT1G68840,AT4G17500,-129.440670989129
AT5G64900,AT3G23240,AT3G61630,-131.602008807138
AT5G64900,AT1G25560,AT3G61630,-132.382097917825
AT5G64900,AT3G61630,AT5G47230,-134.178630665804
AT5G64900,AT1G25560,AT4G11140,-134.225150681432
AT5G64900,AT4G16750,AT1G74840,-134.388702135554
AT5G64900,AT3G23240,AT4G11140,-134.920968090552
AT5G64900,AT3G23240,AT4G17500,-135.016278270356
AT5G64900,AT4G16750,AT3G61630,-135.946846753599
AT5G64900,AT4G11140,AT5G47230,-136.07575065068
AT5G64900,AT4G17500,AT5G47230,-136.07575065068
AT5G64900,AT3G15210,AT5G47230,-138.261471403528
AT5G64900,AT1G25560,AT5G47220,-143.156321241037
AT5G64900,AT5G13910,AT1G74840,-146.030427448058
AT5G64900,AT3G15210,AT3G61630,-146.048903724241
AT5G64900,AT3G61630,AT4G17500,-148.185909441583
AT5G64900,AT1G64380,AT3G61630,-148.739794554809
AT5G64900,AT3G61630,AT4G11140,-149.250620178574
AT5G64900,AT3G15210,AT4G11140,-149.839056405036
AT5G64900,AT1G64380,AT4G17500,-150.072979090605
AT5G64900,AT3G15210,AT4G17500,-150.244521513144
AT5G64900,AT1G64380,AT4G11140,-151.137689827597
AT5G64900,AT4G11140,AT4G17500,-152.109444871375
AT5G64900,AT1G28370,AT5G47220,-155.669313611919
AT5G64900,AT1G68840,AT1G64380,-158.757441497056
AT5G64900,AT1G28370,AT1G64380,-159.82688003938
AT5G64900,AT1G25560,AT4G17500,-160.752282451594
AT5G64900,AT4G16750,AT4G11140,-161.457604333331
AT5G64900,AT4G16750,AT4G17500,-161.457604333331
AT5G64900,AT1G25560,AT1G64380,-163.203595384088
AT5G64900,AT1G64380,AT5G47230,-165.053162828722
AT5G64900,AT3G15210,AT1G28370,-165.154184942787
AT5G64900,AT1G64380,AT3G23240,-165.499281254625
AT5G64900,AT3G15210,AT3G23240,-171.315075758689
AT5G64900,AT5G13910,AT3G61630,-172.91173103194
AT5G64900,AT5G13910,AT4G11140,-174.926634052473
AT5G64900,AT5G13910,AT4G17500,-175.301327501914
AT5G64900,AT3G15210,AT1G64380,-176.800131994665
AT5G64900,AT3G23240,AT5G47220,-177.760043786489
AT5G64900,AT4G16750,AT1G28370,-178.917780706438
AT5G64900,AT1G25560,AT5G47230,-183.138184213601
AT5G64900,AT5G13910,AT5G47220,-185.334512988931
AT5G64900,AT1G28370,AT5G47230,-188.015340663826
AT5G64900,AT3G15210,AT1G68840,-189.244892487677
AT5G64900,AT4G16750,AT1G64380,-189.771722293962
AT5G64900,AT3G15210,AT4G16750,-191.381160206392
AT5G64900,AT3G15210,AT1G25560,-194.061768234179
AT5G64900,AT1G68840,AT1G28370,-194.863928591969
AT5G64900,AT1G68840,AT5G13910,-200.766691509374
AT5G64900,AT5G47220,AT5G47230,-201.131792393647
AT5G64900,AT5G13910,AT1G64380,-202.975786966939
AT5G64900,AT1G68840,AT5G47220,-204.320554238269
AT5G64900,AT3G15210,AT5G13910,-206.948515398988
AT5G64900,AT4G16750,AT3G23240,-210.19229582106
AT5G64900,AT4G16750,AT5G47220,-210.215581967771
AT5G64900,AT1G25560,AT1G68840,-210.605004313849
AT5G64900,AT1G25560,AT1G28370,-215.962802791511
AT5G64900,AT3G23240,AT5G47230,-216.145941008217
AT5G64900,AT1G25560,AT4G16750,-219.601532461922
AT5G64900,AT1G68840,AT3G23240,-220.783300163022
AT5G64900,AT1G25560,AT5G13910,-222.003962889883
AT5G64900,AT1G25560,AT3G23240,-224.203363746642
AT5G64900,AT1G28370,AT3G23240,-226.806913055647
AT5G64900,AT5G13910,AT3G23240,-227.083264204674
AT5G64900,AT4G16750,AT5G47230,-229.128441152367
AT5G64900,AT5G13910,AT1G28370,-229.158251395992
AT5G64900,AT5G13910,AT5G47230,-232.660450931712
AT5G64900,AT1G68840,AT5G47230,-232.936093447218
AT5G64900,AT1G68840,AT4G16750,-249.818184297285
AT5G64900,AT4G16750,AT5G13910,-257.903246141819
