Target,Source,BDeu
AT1G04310,AT1G74840,-64.9694687681339
AT1G04310,AT3G61630,-68.3389174514493
AT1G04310,AT1G64380,-73.2466583223575
AT1G04310,AT4G11140,-74.4809548569889
AT1G04310,AT4G17500,-77.253543579213
AT1G04310,AT3G15210,-112.220641864327
AT1G04310,AT5G13910,-161.526140758397
AT1G04310,AT4G16750,-165.217657416735
AT1G04310,AT5G47230,-172.792394059904
AT1G04310,AT1G68840,-172.929043609426
AT1G04310,AT5G47220,-178.216332340061
AT1G04310,AT1G28370,-195.740803063887
AT1G04310,AT3G23240,-216.42842026511
AT1G04310,AT1G25560,-227.915332339676
