Target,Source,BDeu
AT3G59900,AT1G25560,-155.794260007797
AT3G59900,AT3G23240,-175.078659437335
AT3G59900,AT1G28370,-187.032931822247
AT3G59900,AT1G64380,-190.347617701953
AT3G59900,AT3G15210,-190.620411161919
AT3G59900,AT4G11140,-195.91559863543
AT3G59900,AT3G61630,-196.308893207915
AT3G59900,AT4G17500,-197.07009138249
AT3G59900,AT1G74840,-197.759726090167
AT3G59900,AT5G13910,-203.890952579599
AT3G59900,AT1G68840,-232.135428107157
AT3G59900,AT5G47220,-238.925915499874
AT3G59900,AT4G16750,-239.928633012453
AT3G59900,AT5G47230,-247.880589128789
