Target,Source,BDeu
AT5G64900,AT1G74840,-101.507270725056
AT5G64900,AT3G61630,-128.132144779991
AT5G64900,AT4G17500,-129.50859043846
AT5G64900,AT4G11140,-130.103297546205
AT5G64900,AT1G64380,-160.2518135015
AT5G64900,AT3G15210,-163.241274893742
AT5G64900,AT1G28370,-164.708148875317
AT5G64900,AT5G47220,-188.144178161174
AT5G64900,AT3G23240,-190.2839389253
AT5G64900,AT1G68840,-198.542658574577
AT5G64900,AT1G25560,-208.134674542884
AT5G64900,AT5G47230,-213.647011543062
AT5G64900,AT4G16750,-234.239528369245
AT5G64900,AT5G13910,-243.901453784898
