Target,Source1,Source2,Source3,BDeu
AT2G31730,AT4G16750,AT5G13910,AT5G47230,-207.635789834023
AT2G31730,AT4G16750,AT5G47220,AT5G47230,-208.434297530241
AT2G31730,AT4G16750,AT1G74840,AT5G47230,-210.274847163636
AT2G31730,AT1G25560,AT4G16750,AT5G47230,-210.303018040602
AT2G31730,AT3G15210,AT4G16750,AT5G47230,-211.373459452303
AT2G31730,AT4G16750,AT4G11140,AT5G47230,-211.373459452303
AT2G31730,AT4G16750,AT4G17500,AT5G47230,-211.373459452303
AT2G31730,AT4G16750,AT3G61630,AT5G47230,-211.373459452303
AT2G31730,AT3G15210,AT4G16750,AT5G47220,-211.394073597607
AT2G31730,AT4G16750,AT1G64380,AT5G47220,-211.394073597607
AT2G31730,AT1G68840,AT4G16750,AT5G47230,-211.653173355106
AT2G31730,AT4G16750,AT1G28370,AT5G47230,-211.961246117205
AT2G31730,AT4G16750,AT3G23240,AT5G47230,-211.961246117205
AT2G31730,AT4G16750,AT1G64380,AT5G47230,-211.961246117205
AT2G31730,AT5G13910,AT1G64380,AT5G47220,-212.25770787731
AT2G31730,AT1G64380,AT5G47220,AT5G47230,-212.65472393093
AT2G31730,AT4G16750,AT5G13910,AT1G64380,-212.935106700901
AT2G31730,AT1G25560,AT1G64380,AT5G47220,-215.882048810285
AT2G31730,AT1G25560,AT5G13910,AT5G47230,-215.999831845936
AT2G31730,AT1G64380,AT1G74840,AT5G47220,-216.39287443405
AT2G31730,AT3G23240,AT5G47220,AT5G47230,-216.909153908498
AT2G31730,AT1G25560,AT4G16750,AT1G64380,-217.055315568979
AT2G31730,AT4G16750,AT1G28370,AT1G64380,-217.970821679392
AT2G31730,AT1G64380,AT3G61630,AT5G47220,-218.127475489437
AT2G31730,AT3G15210,AT4G16750,AT1G74840,-218.48729931659
AT2G31730,AT1G28370,AT5G47220,AT5G47230,-218.59463416655
AT2G31730,AT4G16750,AT1G64380,AT1G74840,-218.661652703734
AT2G31730,AT4G16750,AT1G64380,AT3G23240,-218.788132502572
AT2G31730,AT1G64380,AT4G17500,AT5G47220,-219.408409334898
AT2G31730,AT1G64380,AT4G11140,AT5G47220,-219.526192370555
AT2G31730,AT1G68840,AT1G64380,AT5G47230,-219.623197944941
AT2G31730,AT1G68840,AT1G64380,AT5G47220,-219.762581148619
AT2G31730,AT1G25560,AT5G13910,AT1G64380,-220.305080279898
AT2G31730,AT3G15210,AT4G16750,AT4G11140,-220.333126007087
AT2G31730,AT3G15210,AT4G16750,AT4G17500,-220.333126007087
AT2G31730,AT3G15210,AT4G16750,AT1G64380,-220.333126007087
AT2G31730,AT3G15210,AT4G16750,AT3G61630,-220.333126007087
AT2G31730,AT1G28370,AT1G64380,AT5G47220,-220.455728329179
AT2G31730,AT4G16750,AT1G64380,AT3G61630,-220.507479394232
AT2G31730,AT1G64380,AT3G23240,AT5G47220,-220.609879009006
AT2G31730,AT3G15210,AT1G64380,AT5G47220,-220.74341040163
AT2G31730,AT1G25560,AT1G74840,AT5G47230,-221.798924500392
AT2G31730,AT1G25560,AT3G61630,AT5G47230,-221.798924500392
AT2G31730,AT1G25560,AT1G68840,AT1G64380,-221.922065397969
AT2G31730,AT1G25560,AT1G64380,AT5G47230,-222.135396737013
AT2G31730,AT3G15210,AT1G25560,AT5G47230,-222.284432316174
AT2G31730,AT1G25560,AT4G11140,AT5G47230,-222.284432316174
AT2G31730,AT1G25560,AT4G17500,AT5G47230,-222.284432316174
AT2G31730,AT1G25560,AT3G23240,AT5G47230,-223.314051733354
AT2G31730,AT5G13910,AT1G64380,AT5G47230,-223.370917899074
AT2G31730,AT3G15210,AT1G68840,AT5G47220,-223.412001765991
AT2G31730,AT1G68840,AT3G23240,AT5G47230,-223.877627922509
AT2G31730,AT1G68840,AT1G28370,AT5G47230,-225.563108180561
AT2G31730,AT5G13910,AT1G28370,AT5G47230,-225.869058586863
AT2G31730,AT5G13910,AT3G23240,AT5G47230,-226.205530823484
AT2G31730,AT1G68840,AT5G47220,AT5G47230,-226.686636424341
AT2G31730,AT3G15210,AT1G68840,AT1G74840,-226.935261512925
AT2G31730,AT1G68840,AT1G28370,AT1G64380,-227.241880786396
AT2G31730,AT5G13910,AT1G28370,AT1G64380,-227.312592166638
AT2G31730,AT1G28370,AT1G74840,AT5G47230,-227.763096905209
AT2G31730,AT1G64380,AT1G74840,AT5G47230,-228.402755400818
AT2G31730,AT3G15210,AT1G68840,AT3G61630,-228.4393389097
AT2G31730,AT1G68840,AT1G64380,AT3G23240,-228.584755909559
AT2G31730,AT1G74840,AT3G23240,AT5G47230,-228.718608350236
AT2G31730,AT3G15210,AT1G68840,AT1G64380,-228.724517851934
AT2G31730,AT1G28370,AT3G61630,AT5G47230,-228.861709193876
AT2G31730,AT1G64380,AT3G61630,AT5G47230,-229.501367689485
AT2G31730,AT5G13910,AT1G64380,AT3G23240,-229.546184388144
AT2G31730,AT3G23240,AT3G61630,AT5G47230,-229.817220638903
AT2G31730,AT1G28370,AT4G11140,AT5G47230,-230.263507741531
AT2G31730,AT1G64380,AT4G11140,AT5G47230,-230.417658421358
AT2G31730,AT1G64380,AT4G17500,AT5G47230,-230.417658421358
AT2G31730,AT1G28370,AT4G17500,AT5G47230,-230.70534049381
AT2G31730,AT3G15210,AT1G68840,AT4G11140,-230.739420872475
AT2G31730,AT1G28370,AT1G64380,AT5G47230,-230.902929522735
AT2G31730,AT3G15210,AT1G64380,AT5G47230,-231.206115781722
AT2G31730,AT3G23240,AT4G11140,AT5G47230,-231.219019186558
AT2G31730,AT3G15210,AT1G68840,AT4G17500,-231.633238748497
AT2G31730,AT3G23240,AT4G17500,AT5G47230,-231.660851938837
AT2G31730,AT1G64380,AT3G23240,AT5G47230,-231.858440967762
AT2G31730,AT3G15210,AT1G28370,AT5G47230,-232.186945034734
AT2G31730,AT4G16750,AT5G13910,AT5G47220,-232.579962956507
AT2G31730,AT3G15210,AT3G23240,AT5G47230,-233.142456479761
AT2G31730,AT5G13910,AT1G64380,AT1G74840,-233.432991621196
AT2G31730,AT5G13910,AT1G64380,AT3G61630,-234.973436662142
AT2G31730,AT1G28370,AT3G23240,AT5G47230,-235.22189802144
AT2G31730,AT1G25560,AT1G64380,AT1G74840,-235.353389857252
AT2G31730,AT3G15210,AT5G13910,AT1G64380,-236.032828237657
AT2G31730,AT1G25560,AT5G13910,AT5G47220,-236.232474766444
AT2G31730,AT5G13910,AT1G64380,AT4G17500,-236.295192502124
AT2G31730,AT5G13910,AT1G64380,AT4G11140,-236.295192502124
AT2G31730,AT4G16750,AT1G74840,AT5G47220,-236.674307518726
AT2G31730,AT5G13910,AT1G74840,AT5G47220,-236.884799952483
