Target,Source1,Source2,Source3,BDeu
AT3G59900,AT1G25560,AT1G68840,AT1G64380,-178.675044708462
AT3G59900,AT1G64380,AT3G23240,AT5G47220,-180.815110871961
AT3G59900,AT1G25560,AT1G64380,AT5G47220,-180.977629801452
AT3G59900,AT1G25560,AT3G23240,AT5G47220,-181.102792944409
AT3G59900,AT1G25560,AT1G68840,AT3G23240,-181.514772733539
AT3G59900,AT1G25560,AT1G68840,AT3G61630,-181.824927661841
AT3G59900,AT1G68840,AT1G64380,AT3G23240,-181.937937418749
AT3G59900,AT1G25560,AT1G68840,AT1G74840,-182.294931291087
AT3G59900,AT1G25560,AT1G68840,AT4G11140,-184.309834311626
AT3G59900,AT1G25560,AT1G68840,AT4G17500,-184.309834311626
AT3G59900,AT1G68840,AT1G64380,AT5G47220,-186.175463629422
AT3G59900,AT1G68840,AT1G28370,AT1G64380,-186.459725995793
AT3G59900,AT1G68840,AT1G64380,AT5G47230,-187.489345412973
AT3G59900,AT1G25560,AT4G16750,AT3G23240,-205.102093020067
AT3G59900,AT1G25560,AT1G74840,AT3G23240,-205.795240200628
AT3G59900,AT1G25560,AT1G64380,AT3G23240,-206.200705308734
AT3G59900,AT1G25560,AT3G23240,AT5G47230,-207.59804950604
AT3G59900,AT4G16750,AT1G64380,AT3G23240,-209.116156751029
AT3G59900,AT1G25560,AT1G68840,AT5G13910,-209.273398623421
AT3G59900,AT1G25560,AT5G13910,AT1G64380,-209.689913567717
AT3G59900,AT1G25560,AT5G13910,AT5G47220,-210.189689355294
AT3G59900,AT3G15210,AT1G25560,AT1G68840,-210.216006663612
AT3G59900,AT1G25560,AT1G64380,AT5G47230,-210.477371427745
AT3G59900,AT3G23240,AT3G61630,AT5G47220,-210.480837635727
AT3G59900,AT1G74840,AT3G23240,AT5G47220,-210.663159192521
AT3G59900,AT1G25560,AT3G61630,AT5G47220,-211.385293909948
AT3G59900,AT1G68840,AT3G23240,AT3G61630,-211.766183112013
AT3G59900,AT1G25560,AT1G74840,AT5G47220,-211.855297539193
AT3G59900,AT1G68840,AT1G74840,AT3G23240,-211.948504668807
AT3G59900,AT1G25560,AT1G28370,AT3G23240,-211.952783998422
AT3G59900,AT3G15210,AT1G25560,AT5G47220,-212.106611967473
AT3G59900,AT3G15210,AT1G68840,AT1G64380,-212.424738847803
AT3G59900,AT5G13910,AT1G64380,AT5G47220,-213.125760084791
AT3G59900,AT1G25560,AT4G16750,AT1G64380,-213.134128334459
AT3G59900,AT3G23240,AT4G11140,AT5G47220,-213.148065842306
AT3G59900,AT1G25560,AT1G68840,AT5G47230,-213.309800150339
AT3G59900,AT1G25560,AT1G64380,AT1G74840,-213.434882488478
AT3G59900,AT1G25560,AT4G11140,AT5G47220,-213.716049879905
AT3G59900,AT1G25560,AT4G17500,AT5G47220,-213.716049879905
