Target,Source1,Source2,BDeu
AT5G03280,AT3G15210,AT4G16750,-115.209928060526
AT5G03280,AT3G15210,AT1G25560,-117.155838209576
AT5G03280,AT3G15210,AT5G13910,-119.182419778173
AT5G03280,AT3G15210,AT1G68840,-144.901066745498
AT5G03280,AT1G68840,AT5G13910,-159.46261492616
AT5G03280,AT1G25560,AT1G68840,-174.59751866602
AT5G03280,AT1G25560,AT5G13910,-178.605884375859
AT5G03280,AT1G25560,AT4G16750,-179.331521723847
AT5G03280,AT4G16750,AT5G13910,-181.891082843659
AT5G03280,AT1G68840,AT4G16750,-191.987903088707
