Target,Source1,Source2,Source3,BDeu
AT4G37580,AT1G25560,AT4G16750,AT5G13910,-210.57576327409
AT4G37580,AT3G15210,AT1G25560,AT4G16750,-217.328967793219
AT4G37580,AT1G25560,AT1G68840,AT5G13910,-236.49483903091
AT4G37580,AT3G15210,AT1G25560,AT5G13910,-237.122048109978
AT4G37580,AT3G15210,AT1G25560,AT1G68840,-240.520190721643
AT4G37580,AT1G25560,AT1G68840,AT4G16750,-245.964290518343
AT4G37580,AT3G15210,AT4G16750,AT5G13910,-247.396163085412
AT4G37580,AT1G68840,AT4G16750,AT5G13910,-274.827432201396
AT4G37580,AT3G15210,AT1G68840,AT5G13910,-279.585936407303
AT4G37580,AT3G15210,AT1G68840,AT4G16750,-306.967096583579
