Target,Source1,Source2,Source3,BDeu
AT5G03280,AT3G15210,AT1G25560,AT4G16750,-148.364372865958
AT5G03280,AT3G15210,AT1G25560,AT1G68840,-173.934072981322
AT5G03280,AT3G15210,AT4G16750,AT5G13910,-175.861045929356
AT5G03280,AT3G15210,AT1G25560,AT5G13910,-176.190138058678
AT5G03280,AT1G25560,AT1G68840,AT5G13910,-176.236658074312
AT5G03280,AT1G25560,AT4G16750,AT5G13910,-176.988645754898
AT5G03280,AT3G15210,AT1G68840,AT4G16750,-202.588198833411
AT5G03280,AT1G68840,AT4G16750,AT5G13910,-203.29231504534
AT5G03280,AT3G15210,AT1G68840,AT5G13910,-206.285377090337
AT5G03280,AT1G25560,AT1G68840,AT4G16750,-208.53414286521
