Target,Source1,Source2,BDeu
AT4G37580,AT1G25560,AT4G16750,-162.869585086904
AT4G37580,AT1G25560,AT5G13910,-183.71636500491
AT4G37580,AT3G15210,AT5G13910,-193.770833383427
AT4G37580,AT1G25560,AT1G68840,-211.278429671927
AT4G37580,AT3G15210,AT1G25560,-214.317800586402
AT4G37580,AT3G15210,AT4G16750,-219.132067408175
AT4G37580,AT4G16750,AT5G13910,-223.36684258547
AT4G37580,AT3G15210,AT1G68840,-224.266960458101
AT4G37580,AT1G68840,AT5G13910,-230.565949665773
AT4G37580,AT1G68840,AT4G16750,-256.540807054855
