Target,Source1,Source2,BDeu
AT3G62680,AT3G15210,AT3G03450,-29.6625317941544
AT3G62680,AT3G15210,AT4G39780,-29.6625317941544
AT3G62680,AT1G25560,AT3G03450,-29.6625317941544
AT3G62680,AT1G25560,AT4G39780,-29.6625317941544
AT3G62680,AT5G13910,AT3G03450,-29.6625317941544
AT3G62680,AT5G13910,AT4G39780,-29.6625317941544
AT3G62680,AT1G64380,AT3G03450,-29.6625317941544
AT3G62680,AT1G74840,AT3G03450,-29.6625317941544
AT3G62680,AT1G74840,AT4G39780,-29.6625317941544
AT3G62680,AT3G23240,AT3G03450,-29.6625317941544
AT3G62680,AT3G61630,AT3G03450,-29.6625317941544
AT3G62680,AT3G61630,AT4G39780,-29.6625317941544
AT3G62680,AT4G11140,AT3G03450,-29.6625317941544
AT3G62680,AT4G11140,AT4G39780,-29.6625317941544
AT3G62680,AT4G17500,AT3G03450,-29.6625317941544
AT3G62680,AT4G17500,AT4G39780,-29.6625317941544
AT3G62680,AT4G05100,AT3G03450,-29.6625317941544
AT3G62680,AT4G05100,AT4G39780,-29.6625317941544
AT3G62680,AT1G72360,AT3G03450,-29.6625317941544
AT3G62680,AT1G72360,AT4G39780,-29.6625317941544
AT3G62680,AT1G68840,AT3G03450,-29.6625317941544
AT3G62680,AT1G68840,AT4G39780,-29.6625317941544
AT3G62680,AT4G16750,AT3G03450,-29.6625317941544
AT3G62680,AT4G16750,AT4G39780,-29.6625317941544
AT3G62680,AT1G28370,AT3G03450,-29.6625317941544
AT3G62680,AT1G64380,AT4G39780,-29.6625317941544
AT3G62680,AT5G47230,AT3G03450,-29.6625317941544
AT3G62680,AT1G44830,AT3G03450,-29.6625317941544
AT3G62680,AT3G16770,AT3G03450,-29.6625317941544
AT3G62680,AT3G16770,AT4G39780,-29.6625317941544
AT3G62680,AT5G17490,AT3G03450,-29.6625317941544
AT3G62680,AT5G17490,AT4G39780,-29.6625317941544
AT3G62680,AT5G64750,AT3G03450,-29.6625317941544
AT3G62680,AT5G64750,AT4G39780,-29.6625317941544
AT3G62680,AT3G03450,AT4G39780,-29.6625317941544
AT3G62680,AT1G28370,AT4G39780,-29.6625317941544
AT3G62680,AT3G23240,AT4G39780,-29.6625317941544
AT3G62680,AT1G44830,AT4G39780,-29.6625317941544
AT3G62680,AT5G47220,AT3G03450,-29.6625317941544
AT3G62680,AT5G47230,AT4G39780,-29.6625317941544
AT3G62680,AT5G47220,AT4G39780,-29.6625317941544
AT3G62680,AT5G47230,AT3G16770,-55.9842195901029
AT3G62680,AT5G47230,AT5G17490,-55.9842195901029
AT3G62680,AT1G44830,AT3G16770,-55.9842195901029
AT3G62680,AT1G44830,AT5G17490,-55.9842195901029
AT3G62680,AT3G16770,AT5G64750,-56.2719016625537
AT3G62680,AT5G17490,AT5G64750,-56.2719016625537
AT3G62680,AT3G16770,AT1G72360,-57.2835025742305
AT3G62680,AT5G17490,AT1G72360,-57.2835025742305
AT3G62680,AT5G13910,AT5G47230,-57.3705139512144
AT3G62680,AT5G13910,AT1G44830,-57.3705139512144
AT3G62680,AT1G74840,AT3G16770,-57.37051395122
AT3G62680,AT1G74840,AT5G17490,-57.37051395122
AT3G62680,AT1G25560,AT3G16770,-57.37051395122
AT3G62680,AT1G25560,AT5G17490,-57.37051395122
AT3G62680,AT4G16750,AT3G16770,-57.4505566588935
AT3G62680,AT3G61630,AT3G16770,-57.4505566588935
AT3G62680,AT3G61630,AT5G17490,-57.4505566588935
AT3G62680,AT4G16750,AT5G17490,-57.4505566588935
AT3G62680,AT3G16770,AT4G05100,-57.5246646310471
AT3G62680,AT4G11140,AT3G16770,-57.5246646310471
AT3G62680,AT4G11140,AT5G17490,-57.5246646310471
AT3G62680,AT4G17500,AT3G16770,-57.5246646310471
AT3G62680,AT4G17500,AT5G17490,-57.5246646310471
