Target,Source1,Source2,BDeu
AT2G40940,AT4G16750,AT3G03450,-29.6625317941544
AT2G40940,AT4G16750,AT4G39780,-29.6625317941544
AT2G40940,AT3G23240,AT3G03450,-57.3705139512144
AT2G40940,AT3G23240,AT4G39780,-57.3705139512144
AT2G40940,AT4G16750,AT3G16770,-57.4505566588935
AT2G40940,AT4G16750,AT5G17490,-57.4505566588935
AT2G40940,AT3G15210,AT3G03450,-57.593657502534
AT2G40940,AT3G15210,AT4G39780,-57.593657502534
AT2G40940,AT1G25560,AT3G03450,-58.2868046830853
AT2G40940,AT1G25560,AT4G39780,-58.2868046830853
AT2G40940,AT1G28370,AT3G03450,-58.9799518636434
AT2G40940,AT1G28370,AT4G39780,-58.9799518636434
AT2G40940,AT5G47220,AT3G03450,-60.0095712808225
AT2G40940,AT5G47220,AT4G39780,-60.0095712808225
AT2G40940,AT1G64380,AT3G03450,-60.3662462247634
AT2G40940,AT1G64380,AT4G39780,-60.3662462247634
AT2G40940,AT4G16750,AT5G47230,-60.41503638893
AT2G40940,AT4G16750,AT1G44830,-60.41503638893
AT2G40940,AT1G72360,AT3G03450,-61.0901650639865
AT2G40940,AT1G72360,AT4G39780,-61.0901650639865
AT2G40940,AT4G16750,AT5G64750,-61.6190091932534
AT2G40940,AT5G13910,AT3G03450,-61.8813734577218
AT2G40940,AT5G13910,AT4G39780,-61.8813734577218
AT2G40940,AT3G16770,AT3G03450,-62.3121563738139
AT2G40940,AT3G16770,AT4G39780,-62.3121563738139
AT2G40940,AT5G17490,AT3G03450,-62.3121563738139
AT2G40940,AT5G17490,AT4G39780,-62.3121563738139
AT2G40940,AT1G74840,AT3G03450,-62.5063123882548
AT2G40940,AT1G74840,AT4G39780,-62.5063123882548
AT2G40940,AT3G61630,AT3G03450,-62.5063123882548
AT2G40940,AT3G61630,AT4G39780,-62.5063123882548
AT2G40940,AT4G11140,AT3G03450,-62.5063123882548
AT2G40940,AT4G11140,AT4G39780,-62.5063123882548
AT2G40940,AT4G17500,AT3G03450,-62.5063123882548
AT2G40940,AT4G17500,AT4G39780,-62.5063123882548
AT2G40940,AT4G05100,AT3G03450,-62.5063123882548
AT2G40940,AT4G05100,AT4G39780,-62.5063123882548
AT2G40940,AT1G44830,AT3G03450,-62.5063123882548
AT2G40940,AT5G64750,AT3G03450,-62.5063123882548
AT2G40940,AT5G64750,AT4G39780,-62.5063123882548
AT2G40940,AT3G03450,AT4G39780,-62.5063123882548
AT2G40940,AT1G44830,AT4G39780,-62.5063123882548
AT2G40940,AT4G16750,AT5G47220,-65.2254124255387
AT2G40940,AT4G16750,AT1G72360,-65.6655630916338
