Target,Source1,Source2,BDeu
AT5G25350,AT1G74840,AT1G44830,-87.8229139535449
AT5G25350,AT1G25560,AT1G44830,-87.9406969892011
AT5G25350,AT4G16750,AT1G44830,-87.9406969892011
AT5G25350,AT3G61630,AT1G44830,-88.6338441697597
AT5G25350,AT4G16750,AT5G64750,-88.7392046854116
AT5G25350,AT1G44830,AT4G05100,-88.8569877210736
AT5G25350,AT1G74840,AT5G64750,-89.3269913503127
AT5G25350,AT4G11140,AT1G44830,-89.4447743859748
AT5G25350,AT1G25560,AT5G64750,-89.5501349016266
AT5G25350,AT4G17500,AT1G44830,-89.5501349016325
AT5G25350,AT4G05100,AT5G64750,-89.7324564584199
AT5G25350,AT1G64380,AT1G44830,-89.7995957612637
AT5G25350,AT3G61630,AT5G64750,-90.0201385308713
AT5G25350,AT3G15210,AT1G44830,-90.6952672059339
AT5G25350,AT4G11140,AT5G64750,-90.8310687470863
AT5G25350,AT1G64380,AT5G64750,-90.8674363912571
AT5G25350,AT4G17500,AT5G64750,-91.0317394425482
AT5G25350,AT3G15210,AT5G64750,-91.994550190056
AT5G25350,AT3G23240,AT1G44830,-92.1233830619057
AT5G25350,AT5G13910,AT1G44830,-92.4027663315426
AT5G25350,AT5G13910,AT5G64750,-93.1042123149095
AT5G25350,AT1G28370,AT1G44830,-93.2588169830387
AT5G25350,AT3G23240,AT5G64750,-93.2865338717033
AT5G25350,AT5G47230,AT4G05100,-93.693269628008
AT5G25350,AT1G74840,AT5G47230,-94.0274717160947
AT5G25350,AT1G68840,AT1G44830,-94.0750242563553
AT5G25350,AT1G28370,AT5G64750,-94.3196889437159
AT5G25350,AT4G16750,AT3G16770,-94.5129795318759
AT5G25350,AT4G16750,AT5G17490,-94.5129795318759
AT5G25350,AT3G61630,AT5G47230,-94.8384019323095
AT5G25350,AT1G44830,AT5G64750,-95.0092947932938
AT5G25350,AT5G47220,AT1G44830,-95.0862983172377
AT5G25350,AT1G68840,AT5G64750,-95.2381750661528
AT5G25350,AT5G47230,AT1G44830,-95.7786459052183
AT5G25350,AT1G74840,AT5G17490,-95.9835342366113
AT5G25350,AT1G74840,AT3G16770,-95.9835342366113
AT5G25350,AT4G11140,AT5G47230,-96.0170569286495
AT5G25350,AT5G47220,AT5G64750,-96.3328307359741
AT5G25350,AT3G16770,AT4G05100,-96.3535291652704
AT5G25350,AT4G05100,AT5G17490,-96.3535291652704
AT5G25350,AT4G17500,AT5G47230,-96.4588896809281
AT5G25350,AT1G25560,AT5G17490,-96.4690420523925
AT5G25350,AT1G25560,AT3G16770,-96.4690420523925
AT5G25350,AT5G47230,AT5G64750,-96.4717930857704
AT5G25350,AT1G44830,AT5G17490,-96.5095334137607
AT5G25350,AT1G44830,AT3G16770,-96.5095334137607
AT5G25350,AT3G61630,AT5G17490,-97.162189232951
AT5G25350,AT3G61630,AT3G16770,-97.162189232951
AT5G25350,AT3G15210,AT5G47230,-97.6040219852296
AT5G25350,AT3G16770,AT5G64750,-97.8958277748723
AT5G25350,AT5G17490,AT5G64750,-97.8958277748723
AT5G25350,AT5G13910,AT4G05100,-98.1636377731642
AT5G25350,AT5G13910,AT5G17490,-98.4400318858466
AT5G25350,AT5G13910,AT3G16770,-98.4400318858466
AT5G25350,AT1G64380,AT3G16770,-98.5691028812717
AT5G25350,AT1G64380,AT5G17490,-98.5691028812717
AT5G25350,AT4G11140,AT3G16770,-98.6773164659119
AT5G25350,AT4G11140,AT5G17490,-98.6773164659119
AT5G25350,AT4G17500,AT5G17490,-99.1191492181905
AT5G25350,AT4G17500,AT3G16770,-99.1191492181905
AT5G25350,AT5G13910,AT1G74840,-99.6093555547537
AT5G25350,AT5G13910,AT3G61630,-100.168971342688
AT5G25350,AT3G15210,AT5G17490,-100.862118523247
AT5G25350,AT3G15210,AT3G16770,-100.862118523247
AT5G25350,AT5G47220,AT4G05100,-100.940761650567
AT5G25350,AT5G13910,AT4G11140,-101.13405223873
AT5G25350,AT1G74840,AT5G47220,-101.179653558849
AT5G25350,AT5G13910,AT4G17500,-101.709416383633
AT5G25350,AT4G16750,AT3G61630,-102.238395572796
AT5G25350,AT1G28370,AT1G74840,-102.37007339677
AT5G25350,AT3G61630,AT5G47220,-102.626572541783
AT5G25350,AT1G28370,AT4G05100,-102.634133055822
AT5G25350,AT1G68840,AT4G05100,-102.805391468027
AT5G25350,AT1G68840,AT1G74840,-103.344387968759
AT5G25350,AT3G23240,AT3G16770,-103.356356500462
AT5G25350,AT3G23240,AT5G17490,-103.356356500462
AT5G25350,AT5G47230,AT3G16770,-103.553501671864
AT5G25350,AT5G47230,AT5G17490,-103.553501671864
AT5G25350,AT1G28370,AT3G61630,-104.074821489006
AT5G25350,AT1G64380,AT5G47220,-104.172882702181
AT5G25350,AT3G23240,AT4G05100,-104.324717225792
AT5G25350,AT1G74840,AT3G23240,-104.406955324029
AT5G25350,AT1G74840,AT4G05100,-104.478660528451
AT5G25350,AT4G11140,AT5G47220,-104.718436603459
AT5G25350,AT1G68840,AT3G61630,-104.902532586804
AT5G25350,AT1G25560,AT1G74840,-104.939778965654
AT5G25350,AT1G28370,AT5G17490,-105.414595834489
AT5G25350,AT1G28370,AT3G16770,-105.414595834489
AT5G25350,AT4G17500,AT5G47220,-105.465651005289
AT5G25350,AT3G23240,AT3G61630,-106.198714793255
AT5G25350,AT1G28370,AT4G11140,-106.411808008715
AT5G25350,AT3G61630,AT4G05100,-106.493563548991
AT5G25350,AT1G28370,AT4G17500,-107.159022410544
AT5G25350,AT1G68840,AT4G11140,-107.253907843965
AT5G25350,AT1G64380,AT1G74840,-107.352290105201
AT5G25350,AT1G68840,AT3G16770,-107.360147094302
AT5G25350,AT1G68840,AT5G17490,-107.360147094302
AT5G25350,AT3G15210,AT4G05100,-107.461489397165
AT5G25350,AT3G15210,AT5G47220,-107.668152639724
AT5G25350,AT1G64380,AT4G05100,-107.898207048777
AT5G25350,AT1G68840,AT4G17500,-108.147725719986
AT5G25350,AT3G15210,AT1G74840,-108.296751714041
AT5G25350,AT4G11140,AT4G05100,-108.31811284104
AT5G25350,AT4G17500,AT4G05100,-108.31811284104
AT5G25350,AT3G23240,AT4G11140,-108.77323360173
AT5G25350,AT1G74840,AT4G11140,-109.232250719553
AT5G25350,AT1G74840,AT4G17500,-109.232250719553
AT5G25350,AT1G64380,AT3G61630,-109.333291574065
AT5G25350,AT1G74840,AT3G61630,-109.530743708108
AT5G25350,AT3G23240,AT4G17500,-109.667051477751
