Target,Source,BDeu
AT2G26070,AT5G47230,-127.151775191434
AT2G26070,AT1G44830,-130.567002421274
AT2G26070,AT5G64750,-131.989916410929
AT2G26070,AT3G16770,-132.304399600283
AT2G26070,AT5G17490,-132.304399600283
AT2G26070,AT5G47220,-133.635850041042
AT2G26070,AT1G68840,-163.832316669202
AT2G26070,AT4G16750,-164.611079428775
AT2G26070,AT1G74840,-165.124758121522
AT2G26070,AT4G17500,-166.809526360044
AT2G26070,AT3G61630,-167.006129749425
AT2G26070,AT4G11140,-167.735148419341
AT2G26070,AT4G05100,-169.853203894259
AT2G26070,AT1G64380,-197.170609555709
AT2G26070,AT1G28370,-197.926478726453
AT2G26070,AT3G15210,-198.544644329598
AT2G26070,AT5G13910,-200.012262174648
AT2G26070,AT3G23240,-228.735805657059
AT2G26070,AT1G25560,-231.656495456007
