Target,Source,BDeu
AT4G24670,AT1G44830,-141.402924989661
AT4G24670,AT5G64750,-142.201684670255
AT4G24670,AT5G17490,-155.438244467748
AT4G24670,AT3G16770,-155.438244467748
AT4G24670,AT5G47230,-156.214672028545
AT4G24670,AT4G05100,-164.075551571053
AT4G24670,AT5G13910,-165.305092035614
AT4G24670,AT5G47220,-165.757434087013
AT4G24670,AT1G74840,-165.934642504704
AT4G24670,AT3G61630,-167.102247664855
AT4G24670,AT4G11140,-169.261531573624
AT4G24670,AT4G17500,-170.26177891249
AT4G24670,AT4G16750,-186.853371426872
AT4G24670,AT1G64380,-194.442589628982
AT4G24670,AT3G15210,-200.904799274405
AT4G24670,AT1G68840,-201.35034490792
AT4G24670,AT1G28370,-237.956224872379
AT4G24670,AT1G25560,-238.243126775284
AT4G24670,AT3G23240,-238.501069342992
