Target,Source1,Source2,BDeu
AT3G23150,AT3G15210,AT5G17490,-29.6625317941544
AT3G23150,AT1G64380,AT3G16770,-29.6625317941544
AT3G23150,AT1G64380,AT5G17490,-29.6625317941544
AT3G23150,AT1G74840,AT3G16770,-29.6625317941544
AT3G23150,AT1G74840,AT5G17490,-29.6625317941544
AT3G23150,AT3G61630,AT3G16770,-29.6625317941544
AT3G23150,AT3G61630,AT5G17490,-29.6625317941544
AT3G23150,AT4G11140,AT3G16770,-29.6625317941544
AT3G23150,AT4G11140,AT5G17490,-29.6625317941544
AT3G23150,AT4G17500,AT5G17490,-29.6625317941544
AT3G23150,AT3G16770,AT4G05100,-29.6625317941544
AT3G23150,AT4G05100,AT5G17490,-29.6625317941544
AT3G23150,AT3G15210,AT3G16770,-29.6625317941544
AT3G23150,AT1G25560,AT3G16770,-29.6625317941544
AT3G23150,AT1G25560,AT5G17490,-29.6625317941544
AT3G23150,AT1G68840,AT3G16770,-29.6625317941544
AT3G23150,AT1G68840,AT5G17490,-29.6625317941544
AT3G23150,AT4G16750,AT3G16770,-29.6625317941544
AT3G23150,AT4G16750,AT5G17490,-29.6625317941544
AT3G23150,AT5G13910,AT3G16770,-29.6625317941544
AT3G23150,AT5G13910,AT5G17490,-29.6625317941544
AT3G23150,AT3G23240,AT3G16770,-29.6625317941544
AT3G23150,AT3G23240,AT5G17490,-29.6625317941544
AT3G23150,AT4G17500,AT3G16770,-29.6625317941544
AT3G23150,AT5G47230,AT3G16770,-29.6625317941544
AT3G23150,AT5G47230,AT5G17490,-29.6625317941544
AT3G23150,AT5G47220,AT3G16770,-29.6625317941544
AT3G23150,AT5G47220,AT5G17490,-29.6625317941544
AT3G23150,AT1G44830,AT3G16770,-29.6625317941544
AT3G23150,AT1G44830,AT5G17490,-29.6625317941544
AT3G23150,AT3G16770,AT5G17490,-29.6625317941544
AT3G23150,AT1G28370,AT5G17490,-29.6625317941544
AT3G23150,AT1G28370,AT3G16770,-29.6625317941544
AT3G23150,AT5G17490,AT5G64750,-29.6625317941544
AT3G23150,AT3G16770,AT5G64750,-29.6625317941544
AT3G23150,AT5G47230,AT4G05100,-63.1806564418494
AT3G23150,AT3G15210,AT5G47230,-63.1806564418494
AT3G23150,AT1G74840,AT5G47230,-63.1806564418494
AT3G23150,AT3G61630,AT5G47230,-63.1806564418494
AT3G23150,AT4G11140,AT5G47230,-63.1806564418494
AT3G23150,AT4G17500,AT5G47230,-63.1806564418494
AT3G23150,AT5G47230,AT1G44830,-63.1806564418494
AT3G23150,AT5G47230,AT5G64750,-63.1806564418494
AT3G23150,AT5G13910,AT5G64750,-88.9370304287489
