Target,Source1,Source2,Source3,BDeu
AT4G24670,AT4G16750,AT5G47220,AT5G64750,-177.969475007904
AT4G24670,AT5G47220,AT4G05100,AT5G64750,-178.492723151669
AT4G24670,AT4G16750,AT5G47220,AT1G44830,-178.557261672806
AT4G24670,AT5G47220,AT1G44830,AT5G64750,-178.929782625197
AT4G24670,AT1G74840,AT5G47220,AT1G44830,-178.999094425085
AT4G24670,AT5G47220,AT1G44830,AT4G05100,-179.003548775434
AT4G24670,AT1G74840,AT5G47220,AT5G64750,-179.116877460741
AT4G24670,AT1G25560,AT5G47220,AT1G44830,-179.116877460741
AT4G24670,AT1G64380,AT5G47220,AT5G64750,-179.222237976399
AT4G24670,AT3G61630,AT5G47220,AT1G44830,-179.250408853366
AT4G24670,AT3G61630,AT5G47220,AT5G64750,-179.250408853366
AT4G24670,AT1G68840,AT4G16750,AT5G64750,-179.250408853366
AT4G24670,AT1G25560,AT5G47220,AT5G64750,-179.340021012055
AT4G24670,AT1G64380,AT5G47220,AT1G44830,-179.540691707517
AT4G24670,AT4G11140,AT5G47220,AT1G44830,-179.591335440336
AT4G24670,AT4G11140,AT5G47220,AT5G64750,-179.591335440336
AT4G24670,AT4G17500,AT5G47220,AT1G44830,-179.696695955994
AT4G24670,AT4G17500,AT5G47220,AT5G64750,-179.792006135798
AT4G24670,AT1G68840,AT4G16750,AT1G44830,-179.838195518267
AT4G24670,AT3G15210,AT5G47220,AT5G64750,-179.99267683126
AT4G24670,AT3G15210,AT5G47220,AT1G44830,-180.07968820825
AT4G24670,AT5G13910,AT5G47220,AT5G64750,-180.233838888077
AT4G24670,AT3G23240,AT5G47220,AT5G64750,-180.416160444871
AT4G24670,AT5G13910,AT5G47220,AT1G44830,-180.543993816381
AT4G24670,AT3G23240,AT5G47220,AT1G44830,-180.639303996185
AT4G24670,AT1G28370,AT5G47220,AT5G64750,-180.777370543975
AT4G24670,AT1G28370,AT5G47220,AT1G44830,-181.102792944409
AT4G24670,AT5G47220,AT5G47230,AT5G64750,-181.189350333104
AT4G24670,AT1G68840,AT5G47220,AT5G64750,-181.319379095177
AT4G24670,AT1G25560,AT1G68840,AT1G44830,-181.360622053711
AT4G24670,AT1G68840,AT5G47220,AT1G44830,-181.542522646492
AT4G24670,AT1G25560,AT1G68840,AT5G64750,-181.583765605025
AT4G24670,AT5G47220,AT5G47230,AT1G44830,-181.685787219418
AT4G24670,AT5G47220,AT3G16770,AT5G64750,-181.925514898748
AT4G24670,AT5G47220,AT5G17490,AT5G64750,-181.925514898748
AT4G24670,AT5G47220,AT1G44830,AT3G16770,-182.065276841123
AT4G24670,AT5G47220,AT1G44830,AT5G17490,-182.065276841123
AT4G24670,AT1G68840,AT3G23240,AT5G64750,-182.659905037841
AT4G24670,AT1G68840,AT3G23240,AT1G44830,-182.883048589155
AT4G24670,AT1G68840,AT1G28370,AT5G64750,-183.021115136945
AT4G24670,AT1G68840,AT1G28370,AT1G44830,-183.346537537379
AT4G24670,AT5G47220,AT5G47230,AT4G05100,-183.83983068238
AT4G24670,AT1G74840,AT5G47220,AT5G47230,-185.203652187647
AT4G24670,AT1G64380,AT5G47220,AT5G47230,-185.339784361972
AT4G24670,AT3G61630,AT5G47220,AT5G47230,-185.454966615928
AT4G24670,AT4G16750,AT5G13910,AT5G47220,-185.97684207588
AT4G24670,AT4G11140,AT5G47220,AT5G47230,-186.163617983024
AT4G24670,AT5G13910,AT1G74840,AT5G47220,-186.564628740782
AT4G24670,AT4G17500,AT5G47220,AT5G47230,-186.605450735302
AT4G24670,AT1G25560,AT5G13910,AT5G47220,-186.787772292096
AT4G24670,AT3G15210,AT5G47220,AT5G47230,-186.988442987558
AT4G24670,AT5G13910,AT5G47220,AT4G05100,-187.010915843411
AT4G24670,AT5G13910,AT3G61630,AT5G47220,-187.257775921342
AT4G24670,AT1G68840,AT1G64380,AT5G47230,-187.583528954942
AT4G24670,AT4G16750,AT5G47220,AT3G16770,-187.768601545107
AT4G24670,AT4G16750,AT5G47220,AT5G17490,-187.768601545107
AT4G24670,AT5G13910,AT4G11140,AT5G47220,-188.109528132078
AT4G24670,AT5G13910,AT1G64380,AT5G47220,-188.210434297387
AT4G24670,AT5G13910,AT4G17500,AT5G47220,-188.31019882754
AT4G24670,AT3G23240,AT5G47220,AT5G47230,-188.551360884357
AT4G24670,AT1G28370,AT5G47220,AT5G47230,-188.609384724474
AT4G24670,AT1G68840,AT4G16750,AT3G16770,-189.049535390568
AT4G24670,AT1G68840,AT4G16750,AT5G17490,-189.049535390568
AT4G24670,AT5G47220,AT3G16770,AT4G05100,-189.139147549258
AT4G24670,AT5G47220,AT4G05100,AT5G17490,-189.139147549258
AT4G24670,AT3G15210,AT5G13910,AT5G47220,-189.416191223506
AT4G24670,AT5G47220,AT5G47230,AT3G16770,-189.460642986077
AT4G24670,AT5G47220,AT5G47230,AT5G17490,-189.460642986077
AT4G24670,AT5G13910,AT5G47220,AT3G16770,-189.595010149748
AT4G24670,AT5G13910,AT5G47220,AT5G17490,-189.595010149748
AT4G24670,AT1G74840,AT5G47220,AT3G16770,-189.798772037778
AT4G24670,AT1G74840,AT5G47220,AT5G17490,-189.798772037778
AT4G24670,AT1G25560,AT5G47220,AT3G16770,-190.28427985356
AT4G24670,AT1G25560,AT5G47220,AT5G17490,-190.28427985356
AT4G24670,AT3G61630,AT5G47220,AT3G16770,-190.417811246184
AT4G24670,AT3G61630,AT5G47220,AT5G17490,-190.417811246184
AT4G24670,AT5G13910,AT3G23240,AT5G47220,-190.798982954074
AT4G24670,AT1G68840,AT1G28370,AT5G47230,-190.853129317443
AT4G24670,AT1G64380,AT5G47220,AT3G16770,-190.949256157153
