Target,Source1,Source2,BDeu
AT4G24670,AT5G47220,AT5G64750,-119.304614444651
AT4G24670,AT5G47220,AT1G44830,-119.444376387026
AT4G24670,AT5G47220,AT4G05100,-132.473755436056
AT4G24670,AT1G74840,AT5G47220,-133.742266761518
AT4G24670,AT3G61630,AT5G47220,-134.629569956518
AT4G24670,AT1G64380,AT5G47220,-135.300411379563
AT4G24670,AT4G11140,AT5G47220,-136.251430388949
AT4G24670,AT5G47220,AT3G16770,-136.696485253669
AT4G24670,AT5G47220,AT5G17490,-136.696485253669
AT4G24670,AT4G17500,AT5G47220,-136.998644790778
AT4G24670,AT3G15210,AT5G47220,-138.439006373167
AT4G24670,AT3G23240,AT5G47220,-141.648608561247
AT4G24670,AT1G28370,AT5G47220,-143.830565666451
AT4G24670,AT4G16750,AT5G64750,-146.352393576869
AT4G24670,AT4G16750,AT1G44830,-146.717036690456
AT4G24670,AT1G68840,AT5G64750,-150.665108411647
AT4G24670,AT1G68840,AT1G44830,-150.665108411647
AT4G24670,AT1G25560,AT1G44830,-151.824664250531
AT4G24670,AT5G13910,AT5G64750,-151.991264346901
AT4G24670,AT1G25560,AT5G64750,-152.366261532963
AT4G24670,AT5G13910,AT1G44830,-152.434950667829
AT4G24670,AT4G16750,AT3G16770,-154.647442717279
AT4G24670,AT4G16750,AT5G17490,-154.647442717279
AT4G24670,AT1G28370,AT1G44830,-155.342374019642
AT4G24670,AT1G28370,AT5G64750,-155.502459434989
AT4G24670,AT3G23240,AT1G44830,-156.991849305134
AT4G24670,AT5G47230,AT5G64750,-157.100062889774
AT4G24670,AT3G23240,AT5G64750,-157.397314413241
AT4G24670,AT5G47230,AT1G44830,-157.793210070333
AT4G24670,AT3G15210,AT1G44830,-159.398978253876
AT4G24670,AT5G47230,AT4G05100,-159.545748826394
AT4G24670,AT1G74840,AT1G44830,-159.895332215721
AT4G24670,AT4G17500,AT1G44830,-160.073355331754
AT4G24670,AT3G61630,AT1G44830,-160.146646644001
AT4G24670,AT1G64380,AT1G44830,-160.162492652451
AT4G24670,AT3G15210,AT5G64750,-160.176964314373
AT4G24670,AT4G11140,AT1G44830,-160.236258802691
AT4G24670,AT1G44830,AT3G16770,-160.370359146529
AT4G24670,AT1G44830,AT5G17490,-160.370359146529
AT4G24670,AT3G16770,AT5G64750,-160.370359146529
AT4G24670,AT5G17490,AT5G64750,-160.370359146529
AT4G24670,AT1G44830,AT4G05100,-160.570627989116
AT4G24670,AT1G64380,AT5G64750,-160.760329653207
AT4G24670,AT1G74840,AT5G47230,-160.90957033166
AT4G24670,AT1G74840,AT5G64750,-160.97819614742
AT4G24670,AT4G05100,AT5G64750,-161.024883261393
AT4G24670,AT3G61630,AT5G64750,-161.111727540044
AT4G24670,AT4G17500,AT5G64750,-161.133746407601
AT4G24670,AT3G61630,AT5G47230,-161.16088475994
AT4G24670,AT1G25560,AT5G17490,-161.200307174105
AT4G24670,AT1G25560,AT3G16770,-161.200307174105
AT4G24670,AT4G11140,AT5G64750,-161.201339698734
AT4G24670,AT5G13910,AT3G16770,-161.352435608558
AT4G24670,AT5G13910,AT5G17490,-161.352435608558
AT4G24670,AT4G11140,AT5G47230,-161.869536127036
AT4G24670,AT1G44830,AT5G64750,-162.073869614851
AT4G24670,AT5G47230,AT3G16770,-162.214659119158
AT4G24670,AT5G47230,AT5G17490,-162.214659119158
AT4G24670,AT4G17500,AT5G47230,-162.311368879314
AT4G24670,AT3G15210,AT5G47230,-162.69436113157
AT4G24670,AT5G13910,AT4G05100,-163.112146724066
AT4G24670,AT1G25560,AT5G47220,-163.87061704723
AT4G24670,AT5G47220,AT5G47230,-165.163058499537
AT4G24670,AT1G68840,AT3G16770,-165.308354733742
AT4G24670,AT1G68840,AT5G17490,-165.308354733742
AT4G24670,AT5G13910,AT3G61630,-165.587483922834
AT4G24670,AT5G13910,AT1G74840,-165.587483922835
AT4G24670,AT1G74840,AT3G16770,-165.764655365566
AT4G24670,AT1G74840,AT5G17490,-165.764655365566
AT4G24670,AT3G16770,AT4G05100,-165.775872300091
AT4G24670,AT4G05100,AT5G17490,-165.775872300091
AT4G24670,AT4G16750,AT3G61630,-165.949409027334
AT4G24670,AT5G13910,AT4G11140,-166.082561189632
AT4G24670,AT3G61630,AT3G16770,-166.383694573971
AT4G24670,AT3G61630,AT5G17490,-166.383694573971
AT4G24670,AT5G13910,AT4G17500,-166.657925334535
AT4G24670,AT1G64380,AT3G16770,-166.863846190552
AT4G24670,AT1G64380,AT5G17490,-166.863846190552
AT4G24670,AT1G68840,AT4G05100,-167.009212040828
AT4G24670,AT4G11140,AT3G16770,-167.177503749407
AT4G24670,AT4G11140,AT5G17490,-167.177503749407
AT4G24670,AT4G17500,AT5G17490,-167.351072515091
AT4G24670,AT4G17500,AT3G16770,-167.351072515091
AT4G24670,AT1G28370,AT3G16770,-167.488000499626
AT4G24670,AT1G28370,AT5G17490,-167.488000499626
AT4G24670,AT3G23240,AT3G16770,-167.510473355477
AT4G24670,AT3G23240,AT5G17490,-167.510473355477
AT4G24670,AT3G15210,AT5G17490,-167.734064767346
AT4G24670,AT3G15210,AT3G16770,-167.734064767346
AT4G24670,AT1G68840,AT1G74840,-168.577827958739
AT4G24670,AT1G68840,AT3G61630,-169.576356788849
AT4G24670,AT1G68840,AT4G11140,-171.457728416766
AT4G24670,AT1G68840,AT4G17500,-172.351546292787
AT4G24670,AT1G28370,AT4G05100,-173.083414190517
AT4G24670,AT1G28370,AT1G74840,-173.848973948644
AT4G24670,AT1G25560,AT1G74840,-174.163885088375
AT4G24670,AT1G68840,AT3G23240,-174.784619691376
AT4G24670,AT1G28370,AT3G61630,-174.994106252945
AT4G24670,AT1G28370,AT4G11140,-176.861089143409
AT4G24670,AT3G23240,AT4G05100,-177.517766644188
AT4G24670,AT1G28370,AT4G17500,-177.608303545239
AT4G24670,AT1G74840,AT3G23240,-178.629624159604
AT4G24670,AT3G16770,AT5G17490,-179.607714818607
AT4G24670,AT3G23240,AT3G61630,-179.861767840896
AT4G24670,AT3G23240,AT4G11140,-181.966283020126
AT4G24670,AT4G16750,AT5G47230,-182.849685481238
AT4G24670,AT3G23240,AT4G17500,-182.860100896147
AT4G24670,AT3G15210,AT4G05100,-184.683850907509
AT4G24670,AT1G74840,AT4G05100,-184.764347603477
AT4G24670,AT5G13910,AT5G47230,-184.794142141658
AT4G24670,AT1G68840,AT5G47220,-185.310816181188
AT4G24670,AT3G61630,AT4G05100,-186.219634836083
AT4G24670,AT3G15210,AT1G74840,-186.548732641563
AT4G24670,AT1G64380,AT4G05100,-186.656694309609
AT4G24670,AT1G64380,AT1G74840,-186.904008005148
AT4G24670,AT4G17500,AT4G05100,-187.054602084012
AT4G24670,AT4G11140,AT4G05100,-187.322866070607
AT4G24670,AT1G64380,AT5G47230,-187.906386802664
AT4G24670,AT3G15210,AT3G61630,-187.935027002682
AT4G24670,AT1G64380,AT3G61630,-188.325393686078
AT4G24670,AT1G74840,AT4G17500,-188.998359379704
AT4G24670,AT1G64380,AT4G17500,-189.127571111184
AT4G24670,AT1G74840,AT4G11140,-189.266623366299
AT4G24670,AT1G64380,AT4G11140,-189.395835097778
AT4G24670,AT1G74840,AT3G61630,-189.816430783135
AT4G24670,AT5G13910,AT5G47220,-190.086286649088
AT4G24670,AT3G61630,AT4G17500,-190.45364661231
AT4G24670,AT3G15210,AT4G11140,-190.510735579293
AT4G24670,AT3G61630,AT4G11140,-190.721910598904
AT4G24670,AT4G16750,AT5G47220,-190.868913903394
AT4G24670,AT4G16750,AT1G74840,-191.560250065623
AT4G24670,AT3G15210,AT4G17500,-191.714708383618
AT4G24670,AT3G23240,AT5G47230,-191.965261185433
AT4G24670,AT4G16750,AT4G11140,-192.110754173208
AT4G24670,AT4G16750,AT4G17500,-192.110754173208
AT4G24670,AT4G16750,AT4G05100,-192.110754173208
AT4G24670,AT5G13910,AT1G64380,-192.404493156012
AT4G24670,AT4G16750,AT5G13910,-192.603899331006
AT4G24670,AT4G11140,AT4G17500,-193.162737937918
AT4G24670,AT1G68840,AT1G64380,-194.665900903513
AT4G24670,AT3G15210,AT5G13910,-196.192148997895
AT4G24670,AT4G16750,AT1G28370,-196.314797652668
AT4G24670,AT4G16750,AT3G23240,-197.797434718206
AT4G24670,AT1G25560,AT4G05100,-198.45874129291
AT4G24670,AT1G25560,AT3G61630,-200.773254956774
AT4G24670,AT1G68840,AT1G28370,-203.418166217093
AT4G24670,AT1G25560,AT4G11140,-203.481305157867
AT4G24670,AT1G28370,AT1G64380,-204.199973836538
AT4G24670,AT1G64380,AT3G23240,-209.231059741101
AT4G24670,AT3G15210,AT1G28370,-210.768753748667
AT4G24670,AT3G15210,AT1G64380,-213.165022952814
AT4G24670,AT1G25560,AT5G47230,-215.62668944411
AT4G24670,AT1G28370,AT5G47230,-215.791857921693
AT4G24670,AT3G15210,AT3G23240,-216.450848183385
AT4G24670,AT1G68840,AT5G47230,-220.985804577663
AT4G24670,AT4G16750,AT1G64380,-221.118019314397
AT4G24670,AT5G13910,AT3G23240,-222.762465251479
AT4G24670,AT1G68840,AT5G13910,-223.134407667541
AT4G24670,AT3G15210,AT4G16750,-223.469394571556
AT4G24670,AT1G25560,AT1G68840,-224.534604933843
AT4G24670,AT1G68840,AT4G16750,-224.980724938125
AT4G24670,AT3G15210,AT1G68840,-226.557345832354
AT4G24670,AT1G25560,AT4G16750,-227.421306962837
